No.	都道府県	市区町村	事業所名（屋号）	業種		還元率
23,427	埼玉県	さいたま市浦和区	ｔｏｔｏｒｏｎ　Ｒｅｌａｘａｔｉｏｎ　Ｓａｌｏｎ　ｔｏｔｏｒｏｎ	サービス	その他サービス	5%
23,428	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉　浦和西口店	サービス	その他サービス	2%
23,429	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉浦和駅前店	サービス	その他サービス	2%
23,430	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉北浦和駅前店	サービス	その他サービス	2%
23,431	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉　浦和駅前店	サービス	その他サービス	2%
23,432	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉　浦和西口店	サービス	その他サービス	2%
23,433	埼玉県	さいたま市浦和区	トヨタレンタリース埼玉　北浦和駅前店	サービス	その他サービス	2%
23,434	埼玉県	さいたま市浦和区	斗露路	サービス	飲食業	5%
23,435	埼玉県	さいたま市浦和区	なつめ庵	サービス	飲食業	5%
23,436	埼玉県	さいたま市浦和区	肉の万世　北浦和店	サービス	飲食業	5%
23,437	埼玉県	さいたま市浦和区	日勝 シバタ音楽教室 ドレミパン	小売業	食料品	5%
23,438	埼玉県	さいたま市浦和区	Ｎｕ.	サービス	理容・美容業	5%
23,439	埼玉県	さいたま市浦和区	ネイルサロンラグジェ	サービス	理容・美容業	5%
23,440	埼玉県	さいたま市浦和区	パティスリー　ポルトボヌール	小売業	食料品	5%
23,441	埼玉県	さいたま市浦和区	ハピネス	サービス	理容・美容業	5%
23,442	埼玉県	さいたま市浦和区	セブン－イレブン針ヶ谷店	小売業	食料品	2%
23,443	埼玉県	さいたま市浦和区	Ｂ?ＳＴＡＮＤＡＲＤ	小売業	衣料品	5%
23,444	埼玉県	さいたま市浦和区	ｈｉｍａｒｉ	サービス	理容・美容業	5%
23,445	埼玉県	さいたま市浦和区	美容室Ｍｏｄｅｒａｔｅ	サービス	理容・美容業	5%
23,446	埼玉県	さいたま市浦和区	美ラヴァンド	サービス	理容・美容業	5%
23,447	埼玉県	さいたま市浦和区	フェイシャルサロンエレガ	サービス	理容・美容業	5%
23,448	埼玉県	さいたま市浦和区	ＰＲＡＶＡＳ	サービス	その他サービス	5%
23,449	埼玉県	さいたま市浦和区	フレッシュネスバーガー浦和	サービス	飲食業	2%
23,450	埼玉県	さいたま市浦和区	フレンチ居酒屋ＢｏｎＴｉｇｇｅｒ	サービス	飲食業	5%
23,451	埼玉県	さいたま市浦和区	ブロッサム　北浦和店	サービス	理容・美容業	5%
23,452	埼玉県	さいたま市浦和区	ヘアーアンドスパ　パーム	サービス	理容・美容業	5%
23,453	埼玉県	さいたま市浦和区	ｈａｉｒ　ｓａｌｏｎ　レインボー　Ｈａｉｒ　ｓａｌｏｎ　レインボー	サービス	理容・美容業	5%
23,454	埼玉県	さいたま市浦和区	ヘアーサロンレインボー	サービス	理容・美容業	5%
23,455	埼玉県	さいたま市浦和区	ヘアサロンスクーター	サービス	理容・美容業	5%
23,456	埼玉県	さいたま市浦和区	Ｈａｉｒ　Ｓｔｕｄｉｏ　Ｌｅａｖｅｓ　与野店	サービス	理容・美容業	5%
23,457	埼玉県	さいたま市浦和区	ヘナファクトリー与野店	サービス	理容・美容業	5%
23,458	埼玉県	さいたま市浦和区	Ｂｏｕｚｕ	サービス	理容・美容業	5%
23,459	埼玉県	さいたま市浦和区	フォトガーデン キラリ 浦和 浦和店	サービス	その他サービス	5%
23,460	埼玉県	さいたま市浦和区	ボンドール	サービス	飲食業	5%
23,461	埼玉県	さいたま市浦和区	ボンドール北浦和サロン	サービス	飲食業	5%
23,462	埼玉県	さいたま市浦和区	ボンドール北浦和店	サービス	飲食業	5%
23,463	埼玉県	さいたま市浦和区	ボンドールさいたま市役所店	サービス	飲食業	5%
23,464	埼玉県	さいたま市浦和区	松崎哲也税理士事務所 松崎哲也税理士事務所	サービス	その他サービス	5%
23,465	埼玉県	さいたま市浦和区	松与志	サービス	飲食業	5%
23,466	埼玉県	さいたま市浦和区	水嶋商店	小売業	食料品	5%
23,467	埼玉県	さいたま市浦和区	Ｍｉｃｈｅ	サービス	理容・美容業	5%
23,468	埼玉県	さいたま市浦和区	Ｍｅｌｔｙ浦和	サービス	理容・美容業	5%
23,469	埼玉県	さいたま市浦和区	Ｍａｕｒｉｃｅｓ	サービス	理容・美容業	5%
23,470	埼玉県	さいたま市浦和区	ｍｏｌａ－ｍｏｌａｈａｉｒ	サービス	理容・美容業	5%
23,471	埼玉県	さいたま市浦和区	焼肉　山河　北浦和店	サービス	飲食業	5%
23,472	埼玉県	さいたま市浦和区	ヤマハショップ浦和東	小売業	その他小売	5%
23,473	埼玉県	さいたま市浦和区	有 本田商店	小売業	食料品	5%
23,474	埼玉県	さいたま市浦和区	ラ　プロメッサ	サービス	飲食業	5%
23,475	埼玉県	さいたま市浦和区	Ｌａｐｉｓ【ラピス】	サービス	その他サービス	5%
23,476	埼玉県	さいたま市浦和区	ＲＡＢＢＩＴ　ｈａｎｄ	サービス	その他サービス	5%
23,477	埼玉県	さいたま市浦和区	ｒｅｗａｓｈ	サービス	その他サービス	5%
23,478	埼玉県	さいたま市浦和区	力の紅	サービス	飲食業	5%
23,479	埼玉県	さいたま市浦和区	セブン－イレブン領家店	小売業	食料品	2%
23,480	埼玉県	さいたま市浦和区	料理処石屋	サービス	飲食業	5%
23,481	埼玉県	さいたま市浦和区	Ｒｅｌａｔｏ　ＤＥＳＩＧＮ　ＣＯ	サービス	理容・美容業	5%
23,482	埼玉県	さいたま市浦和区	Ｒｏｖｅｒ５３	サービス	理容・美容業	5%
23,483	埼玉県	さいたま市浦和区	Ｒｏｖｅｒ５４	サービス	理容・美容業	5%
23,484	埼玉県	さいたま市浦和区	ワックストンボイ	サービス	理容・美容業	5%
23,485	埼玉県	さいたま市大宮区	Ｉ'ＬＬ...	サービス	理容・美容業	5%
23,486	埼玉県	さいたま市大宮区	ａｕＲａ【アウラ】	サービス	理容・美容業	5%
23,487	埼玉県	さいたま市大宮区	アウリィ歯科クリニック	サービス	その他サービス	5%
23,488	埼玉県	さいたま市大宮区	あうんまるしぇ	小売業	食料品	5%
23,489	埼玉県	さいたま市大宮区	Ａｇｕ ｈａｉｒ Ａｇｕ ｈａｉｒ ｔｈｅｔａ大宮	サービス	理容・美容業	5%
23,490	埼玉県	さいたま市大宮区	ａｇｕ?ｈａｉｒ ｇｉｎａ大宮	サービス	理容・美容業	5%
23,491	埼玉県	さいたま市大宮区	Ａｇｕ ｈａｉｒ Ａｇｕ ｈａｉｒ ｒｕｓｓｉａｎ大宮	サービス	理容・美容業	5%
23,492	埼玉県	さいたま市大宮区	ＡＨＡＶＡ	小売業	衣料品	5%
23,493	埼玉県	さいたま市大宮区	アルモデル	小売業	その他小売	5%
23,494	埼玉県	さいたま市大宮区	ｕｎ	サービス	理容・美容業	5%
23,495	埼玉県	さいたま市大宮区	石橋楽器　大宮店	小売業	その他小売	5%
23,496	埼玉県	さいたま市大宮区	石橋楽器　大宮店	小売業	その他小売	5%
23,497	埼玉県	さいたま市大宮区	石橋楽器　大宮店	小売業	その他小売	5%
23,498	埼玉県	さいたま市大宮区	ＶＩＤＡカイロプラクティック	サービス	その他サービス	5%
23,499	埼玉県	さいたま市大宮区	歌広場　大宮西口駅前店	サービス	飲食業	5%
23,500	埼玉県	さいたま市大宮区	歌広場　大宮東口南銀通り店	サービス	飲食業	5%
23,501	埼玉県	さいたま市大宮区	美味門／バンビーナ	サービス	飲食業	5%
23,502	埼玉県	さいたま市大宮区	エイジング ビーフ エイジング ビーフ 大宮店	サービス	飲食業	5%
23,503	埼玉県	さいたま市大宮区	エスネイル大宮店	サービス	理容・美容業	5%
23,504	埼玉県	さいたま市大宮区	ＥＳＰＯＡしみず	小売業	食料品	5%
23,505	埼玉県	さいたま市大宮区	江戸前がってん寿司　大宮東口店	サービス	飲食業	5%
23,506	埼玉県	さいたま市大宮区	Ｅｌｅａｎｏｒ大宮	サービス	理容・美容業	5%
23,507	埼玉県	さいたま市大宮区	大宮アントレサロン	サービス	その他サービス	5%
23,508	埼玉県	さいたま市大宮区	セブン－イレブン大宮駅銀座通り店	小売業	食料品	2%
23,509	埼玉県	さいたま市大宮区	セブン－イレブン大宮駅桜木１T目店	小売業	食料品	2%
23,510	埼玉県	さいたま市大宮区	セブン－イレブン大宮駅南銀座通り店	小売業	食料品	2%
23,511	埼玉県	さいたま市大宮区	大宮ガレージ駐車場	サービス	その他サービス	5%
23,512	埼玉県	さいたま市大宮区	セブン－イレブン大宮櫛引１T目店	小売業	食料品	2%
23,513	埼玉県	さいたま市大宮区	大宮交通株式会社	サービス	運輸業	5%
23,514	埼玉県	さいたま市大宮区	大宮店	その他業種	ー	5%
23,515	埼玉県	さいたま市大宮区	大村庵	サービス	飲食業	5%
23,516	埼玉県	さいたま市大宮区	オガワ本店	小売業	貴金属・服飾品	5%
23,517	埼玉県	さいたま市大宮区	押田謙文堂　レジＮｏ　２	小売業	書籍・玩具・音楽ＣＤ	5%
23,518	埼玉県	さいたま市大宮区	ＯＴＴＯ　ＣＡＦＥ　ＯＴＴＯ　ＣＡＦＥ	サービス	飲食業	5%
23,519	埼玉県	さいたま市大宮区	おばんざいと串揚げ たくみ	サービス	飲食業	5%
23,520	埼玉県	さいたま市大宮区	オリックスレンタカー大宮店	サービス	その他サービス	2%
23,521	埼玉県	さいたま市大宮区	温野菜大宮西口店	サービス	飲食業	2%
23,522	埼玉県	さいたま市大宮区	温野菜大宮東口店	サービス	飲食業	2%
23,523	埼玉県	さいたま市大宮区	かっぽうぎさいたま新都心店	サービス	飲食業	2%
23,524	埼玉県	さいたま市大宮区	割烹旅館東山	サービス	その他サービス	5%
23,525	埼玉県	さいたま市大宮区	Ｃａｆｅ　ＥＳＴ　ＣＡＦＥ　ＥＳＴ	サービス	飲食業	5%
23,526	埼玉県	さいたま市大宮区	株式会社雄飛堂	小売業	家具・調度品	5%
23,527	埼玉県	さいたま市大宮区	株式会社たけぞう　路地裏食堂たけぞう	サービス	飲食業	5%
23,528	埼玉県	さいたま市大宮区	カレーハウスＣｏＣｏ壱番屋大宮大栄橋店	サービス	飲食業	2%
23,529	埼玉県	さいたま市大宮区	ＫＩＣＨＩＲＩ　ＯＭＩＹＡ　ＷＥＳＴ	サービス	飲食業	5%
23,530	埼玉県	さいたま市大宮区	ギャラリー　サクラモヒラ	小売業	衣料品	5%
23,531	埼玉県	さいたま市大宮区	牛たんや	サービス	飲食業	5%
23,532	埼玉県	さいたま市大宮区	クイックリフォーム大宮店	サービス	その他サービス	5%
23,533	埼玉県	さいたま市大宮区	ＣｒｏｓｓＦｉｔＯｍｉｙａ	その他業種	ー	5%
23,534	埼玉県	さいたま市大宮区	クロブチカフェ	サービス	飲食業	5%
23,535	埼玉県	さいたま市大宮区	ＢｏｄｙＴｕｎｉｎｇＬａｂｏＫ７＂(ボディーチューニングラボケーセブン)	サービス	理容・美容業	5%
23,536	埼玉県	さいたま市大宮区	Ｋ　Ｐａｌｅｔｔｅ	サービス	理容・美容業	5%
23,537	埼玉県	さいたま市大宮区	交通教材センター株式会社	その他業種	ー	5%
23,538	埼玉県	さいたま市大宮区	セブン－イレブンさいたま天沼町１T目店	小売業	食料品	2%
23,539	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大成町３T目店	小売業	食料品	2%
23,540	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大成町２T目店	小売業	食料品	2%
23,541	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大宮駅東店	小売業	食料品	2%
23,542	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大宮氷川参道店	小売業	食料品	2%
23,543	埼玉県	さいたま市大宮区	セブン－イレブンさいたま北袋町１T目店	小売業	食料品	2%
23,544	埼玉県	さいたま市大宮区	セブン－イレブンさいたま北袋町２T目店	小売業	食料品	2%
23,545	埼玉県	さいたま市大宮区	セブン－イレブンさいたま北袋店	小売業	食料品	2%
23,546	埼玉県	さいたま市大宮区	セブン－イレブンさいたま桜木町２T目店	小売業	食料品	2%
23,547	埼玉県	さいたま市大宮区	セブン－イレブンさいたま下町３T目店	小売業	食料品	2%
23,548	埼玉県	さいたま市大宮区	セブン－イレブンさいたま浅間町店	小売業	食料品	2%
23,549	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大栄橋西店	小売業	食料品	2%
23,550	埼玉県	さいたま市大宮区	セブン－イレブンさいたま大門町１T目店	小売業	食料品	2%
23,551	埼玉県	さいたま市大宮区	セブン－イレブンさいたま土手町店	小売業	食料品	2%
23,552	埼玉県	さいたま市大宮区	埼玉とみひろイベント	小売業	衣料品	5%
23,553	埼玉県	さいたま市大宮区	セブン－イレブンさいたま仲町１T目店	小売業	食料品	2%
23,554	埼玉県	さいたま市大宮区	セブン－イレブンさいたま堀の内３T目店	小売業	食料品	2%
23,555	埼玉県	さいたま市大宮区	セブン－イレブンさいたま三橋総合公園前店	小売業	食料品	2%
23,556	埼玉県	さいたま市大宮区	酒蔵力大宮西口店	サービス	飲食業	5%
23,557	埼玉県	さいたま市大宮区	酒蔵力大宮東口駅前店	サービス	飲食業	5%
23,558	埼玉県	さいたま市大宮区	酒蔵力大宮南銀座店	サービス	飲食業	5%
23,559	埼玉県	さいたま市大宮区	Ｔｈｅ　Ｂａｒ　ＡＬＣＡＺＡＲ	サービス	飲食業	5%
23,560	埼玉県	さいたま市大宮区	Ｊ'ｓメディカル整体院大宮東口院	サービス	その他サービス	5%
23,561	埼玉県	さいたま市大宮区	Ｇｅｍｉｎｉ	サービス	理容・美容業	5%
23,562	埼玉県	さいたま市大宮区	ｓｈｏｅｓ　ｓｈｏｐ　Ｃｉａｏ	小売業	その他小売	5%
23,563	埼玉県	さいたま市大宮区	旬彩のはら	サービス	飲食業	5%
23,564	埼玉県	さいたま市大宮区	ｓｔａｉｒ　大宮西口店	サービス	理容・美容業	5%
23,565	埼玉県	さいたま市大宮区	ストレート　埼玉店	小売業	その他小売	5%
23,566	埼玉県	さいたま市大宮区	セオサイクル大宮東町店 セオサイクル大宮東町店	小売業	その他小売	5%
23,567	埼玉県	さいたま市大宮区	ゼロワン大宮店	小売業	衣料品	5%
23,568	埼玉県	さいたま市大宮区	Ｄａｒｔｓ　Ｓｈｏｐ　ＴｉＴＯ　大宮店	小売業	その他小売	5%
23,569	埼玉県	さいたま市大宮区	ＤｉＣＥ大宮店	サービス	その他サービス	5%
23,570	埼玉県	さいたま市大宮区	タイレストランサワディー	サービス	飲食業	5%
23,571	埼玉県	さいたま市大宮区	つきじ海賓　大宮店	サービス	飲食業	5%
23,572	埼玉県	さいたま市大宮区	セブン－イレブン鉄道博物館前店	小売業	食料品	2%
23,573	埼玉県	さいたま市大宮区	ドール　オガワ	小売業	貴金属・服飾品	5%
23,574	埼玉県	さいたま市大宮区	ｔｏｋｉ	サービス	理容・美容業	5%
23,575	埼玉県	さいたま市大宮区	Ｄｒ.ストレッチ大宮そごうビル内店	サービス	その他サービス	5%
23,576	埼玉県	さいたま市大宮区	ドスパラ大宮店	小売業	電化製品	5%
23,577	埼玉県	さいたま市大宮区	トツカ電機商会	小売業	電化製品	5%
23,578	埼玉県	さいたま市大宮区	ＴＯＭＯＲＩ 大宮店	サービス	飲食業	5%
23,579	埼玉県	さいたま市大宮区	トヨタレンタリース埼玉営業推進部	サービス	その他サービス	2%
23,580	埼玉県	さいたま市大宮区	トヨタレンタリース埼玉大宮駅東口店	サービス	その他サービス	2%
23,581	埼玉県	さいたま市大宮区	トヨタレンタリース埼玉ＪＲ大宮駅西口店	サービス	その他サービス	2%
23,582	埼玉県	さいたま市大宮区	トヨタレンタリース新埼玉　さいたま新都心	サービス	その他サービス	2%
23,583	埼玉県	さいたま市大宮区	トヨタレンタリース新埼玉大宮駅東口大栄橋	サービス	その他サービス	2%
23,584	埼玉県	さいたま市大宮区	トヨタレンタリース新埼玉大宮西口駅前店	サービス	その他サービス	2%
23,585	埼玉県	さいたま市大宮区	トヨタレンタリース埼玉　大宮駅東口店	サービス	その他サービス	2%
23,586	埼玉県	さいたま市大宮区	トヨタレンタリース埼玉　ＪＲ大宮駅西口店	サービス	その他サービス	2%
23,587	埼玉県	さいたま市大宮区	トラットリア　イル・ルオーゴ	サービス	飲食業	5%
23,588	埼玉県	さいたま市大宮区	とらのあな　大宮店	小売業	書籍・玩具・音楽ＣＤ	5%
23,589	埼玉県	さいたま市大宮区	とらのあな大宮店	小売業	書籍・玩具・音楽ＣＤ	5%
23,590	埼玉県	さいたま市大宮区	鳥彩々　大宮東口仲町店	サービス	飲食業	5%
23,591	埼玉県	さいたま市大宮区	とんかつ熊さん 大宮店	サービス	飲食業	5%
23,592	埼玉県	さいたま市大宮区	トントンオンギー	サービス	飲食業	5%
23,593	埼玉県	さいたま市大宮区	お食事処菜々草	サービス	飲食業	5%
23,594	埼玉県	さいたま市大宮区	七匹の子ぶた　グループ　さいたま新都心店	サービス	飲食業	5%
23,595	埼玉県	さいたま市大宮区	日新自動車整備工場	サービス	その他サービス	5%
23,596	埼玉県	さいたま市大宮区	ＮＩＢＯＳＩＴＵＫＥＭＥＮ凪南銀通り	サービス	飲食業	5%
23,597	埼玉県	さいたま市大宮区	ｎｅｃｃｏ	サービス	飲食業	5%
23,598	埼玉県	さいたま市大宮区	ハーヴェスト　大宮店	サービス	理容・美容業	5%
23,599	埼玉県	さいたま市大宮区	パローネシューズ	小売業	その他小売	5%
23,600	埼玉県	さいたま市大宮区	パローネ　シューズショップ	小売業	その他小売	5%
23,601	埼玉県	さいたま市大宮区	Ｂｅｅ大宮	サービス	飲食業	5%
23,602	埼玉県	さいたま市大宮区	ビストロチャイニーズ　オオサワ　本店	サービス	飲食業	5%
23,603	埼玉県	さいたま市大宮区	Ｐｉｚｚｅｒｉａ　Ｃｉｃｃｉｏ	サービス	飲食業	5%
23,604	埼玉県	さいたま市大宮区	ＢＥＹＯＮＤＷＡＸ	サービス	理容・美容業	5%
23,605	埼玉県	さいたま市大宮区	風来坊大宮店	サービス	飲食業	5%
23,606	埼玉県	さいたま市大宮区	ＦＥＲＩＥ	サービス	理容・美容業	5%
23,607	埼玉県	さいたま市大宮区	ふぉーとすてーしょん	サービス	その他サービス	5%
23,608	埼玉県	さいたま市大宮区	フクミ薬局	小売業	その他小売	5%
23,609	埼玉県	さいたま市大宮区	ブティック　プリンセス	小売業	衣料品	5%
23,610	埼玉県	さいたま市大宮区	ブリアント　大宮店	サービス	理容・美容業	5%
23,611	埼玉県	さいたま市大宮区	Ｂｒｉｌｌｉｏ	その他業種	ー	5%
23,612	埼玉県	さいたま市大宮区	ブロッサム　大宮西口店	サービス	理容・美容業	5%
23,613	埼玉県	さいたま市大宮区	ＨａｉｒＤｒｅｓｓｉｎｇＬＯＶＩＳ	サービス	理容・美容業	5%
23,614	埼玉県	さいたま市大宮区	Ｈａｉｒ＆ＥｙｅｌａｓｈＰＲＥＳ	サービス	理容・美容業	5%
23,615	埼玉県	さいたま市大宮区	Ｈａｉｒ　ｓａｌｏｎ　Ｃｌｅｆ　【ヘアサロンクレ】	サービス	理容・美容業	5%
23,616	埼玉県	さいたま市大宮区	ベーグルラパン	サービス	飲食業	5%
23,617	埼玉県	さいたま市大宮区	ベストメガネコンタクト	小売業	その他小売	5%
23,618	埼玉県	さいたま市大宮区	ベルギービアレストラン　キッチン　シューラク	サービス	飲食業	5%
23,619	埼玉県	さいたま市大宮区	ホルモン酒場　大宮店	サービス	飲食業	5%
23,620	埼玉県	さいたま市大宮区	株式会社そら	その他業種	ー	5%
23,621	埼玉県	さいたま市大宮区	ＢＯＮＢＯＮ　ＢＡＺＡＲ　ボンボン　バザール	サービス	飲食業	5%
23,622	埼玉県	さいたま市大宮区	まつもとドライクリーニング本店	サービス	その他サービス	5%
23,623	埼玉県	さいたま市大宮区	魔法のランプ	サービス	理容・美容業	5%
23,624	埼玉県	さいたま市大宮区	ミートショップ上野	小売業	食料品	5%
23,625	埼玉県	さいたま市大宮区	三矢交通株式会社	サービス	運輸業	5%
23,626	埼玉県	さいたま市大宮区	水面月　大宮店	サービス	飲食業	5%
