id	title	area	description	address	tel	latitude	longitude
178	ファミリーマート今治城前店	今治地区	飲食料品小売業	愛媛県今治市恵美須町3-1-32	0898-31-3122	34.065648	133.007889
179	ファミリーマート今治たちばな店	今治地区	飲食料品小売業	愛媛県今治市郷本町1-526-1	0898-33-7234	34.048735	132.997349
180	ファミリーマート今治常盤町店	今治地区	飲食料品小売業	愛媛県今治市常盤町8-4-29	0898-23-5572	34.054236	132.986415
181	ファミリーマート今治バイパス店	今治地区	飲食料品小売業	愛媛県今治市中寺610-1	0898-25-6003	34.042153	132.990149
182	ファミリーマート今治東村一丁目店	今治地区	飲食料品小売業	愛媛県今治市東村1-2-48	0898-43-4021	34.042316	133.0264
183	ファミリーマート今治別宮町店	今治地区	飲食料品小売業	愛媛県今治市別宮町2-1-8	0898-34-5255	34.067547	132.99733
184	ファミリーマート今治別宮町四丁目店	今治地区	飲食料品小売業	愛媛県今治市別宮町4-5-20	0898-23-3775	34.07023	132.993722
185	母恵夢本舗　旭町店	今治地区	飲食料品小売業	愛媛県今治市旭町3-1-31	0898-32-2722	34.062176	133.002071
186	母恵夢本舗　片山店	今治地区	飲食料品小売業	愛媛県今治市片山1-2-23	0898-32-5288	34.053028	132.979148
187	母恵夢本舗　本町本店	今治地区	飲食料品小売業	愛媛県今治市本町2-1-29	0898-32-5660	34.069022	133.002132
188	母恵夢本舗　ワールドプラザ店	今治地区	飲食料品小売業	愛媛県今治市東村1-14-2	0898-36-6525	34.042283	133.028331
189	まちなか広場ほんからどんどん	今治地区	飲食料品小売業	愛媛県今治市常盤町2-7-7	0898-32-7230		
190	松木精肉店	今治地区	飲食料品小売業	愛媛県今治市唐子台東1-17-5	0898-48-5129	34.031606	133.02877
191	まなべマート	今治地区	飲食料品小売業	愛媛県今治市南鳥生町2-1-1	0898-32-3127	34.053961	133.009408
192	マルヒ食糧	今治地区	飲食料品小売業	愛媛県今治市松本町5-1-15	0898-31-0085	34.058127	133.006781
193	ムロヤ菓舗	今治地区	飲食料品小売業	愛媛県今治市常盤町1-6-2	0898-22-0692	34.068536	133.003654
194	もりかわ鳥生店	今治地区	飲食料品小売業	愛媛県今治市北鳥生町2-1-32	0898-22-5504	34.054805	133.007931
195	ユーアイマート	今治地区	飲食料品小売業	愛媛県今治市共栄町4-6-7	0898-32-7771	34.070955	132.997224
196	夢惣菜　でん田	今治地区	飲食料品小売業	愛媛県今治市五十嵐甲62-1	0898-33-3201		
197	吉田屋餅店	今治地区	飲食料品小売業	愛媛県今治市通町1-4-17	0898-22-1774	34.067331	133.003312
198	ラブリーショップ　ムラセ	今治地区	飲食料品小売業	愛媛県今治市波止浜3-1-1	0898-41-9718	34.1078	132.96819
199	ローソン今治阿方店	今治地区	飲食料品小売業	愛媛県今治市阿方甲496-1	0898-34-8010		
200	ローソン今治駅前店	今治地区	飲食料品小売業	愛媛県今治市北宝来町2-1-1	0898-25-0122	34.064919	132.993758
201	ローソン今治延喜店	今治地区	飲食料品小売業	愛媛県今治市延喜甲282-4	0898-22-4033	34.063945	132.959987
202	ローソン今治唐子浜店	今治地区	飲食料品小売業	愛媛県今治市古国分1-8-62	0898-48-4533	34.029806	133.037035
203	ローソン今治北日吉町店	今治地区	飲食料品小売業	愛媛県今治市北日吉町2-5-45	0898-34-3251		
